order_id,customer_id,customer_name,product_id,product_name,quantity,unit_price,order_date,status,region
ORD-001,CUST-101,Acme Corp,PROD-A,Widget Pro,10,25.99,2024-01-15,COMPLETED,WEST
ORD-002,CUST-102,Beta Ltd,PROD-B,Gadget Plus,5,49.99,2024-01-16,SHIPPED,EAST
ORD-003,CUST-101,Acme Corp,PROD-C,Super Tool,20,12.50,2024-01-17,COMPLETED,WEST
ORD-004,CUST-103,Gamma Inc,PROD-A,Widget Pro,3,25.99,2024-01-18,PENDING,NORTH
ORD-005,CUST-102,Beta Ltd,PROD-D,Mega Kit,1,199.99,2024-01-19,COMPLETED,EAST
ORD-006,CUST-104,Delta Co,PROD-B,Gadget Plus,8,49.99,2024-01-20,SHIPPED,SOUTH
ORD-007,CUST-103,Gamma Inc,PROD-C,Super Tool,15,12.50,2024-01-21,COMPLETED,NORTH
ORD-008,CUST-101,Acme Corp,PROD-D,Mega Kit,2,199.99,2024-01-22,PENDING,WEST
ORD-009,CUST-105,Epsilon LLC,PROD-A,Widget Pro,25,25.99,2024-01-23,COMPLETED,EAST
ORD-010,CUST-104,Delta Co,PROD-C,Super Tool,7,12.50,2024-01-24,SHIPPED,SOUTH
ORD-011,CUST-105,Epsilon LLC,PROD-B,Gadget Plus,4,49.99,2024-01-25,COMPLETED,EAST
ORD-012,CUST-102,Beta Ltd,PROD-A,Widget Pro,12,25.99,2024-01-26,COMPLETED,EAST
ORD-013,CUST-103,Gamma Inc,PROD-D,Mega Kit,3,199.99,2024-01-27,PENDING,NORTH
ORD-014,CUST-101,Acme Corp,PROD-B,Gadget Plus,6,49.99,2024-01-28,COMPLETED,WEST
ORD-015,CUST-104,Delta Co,PROD-A,Widget Pro,9,25.99,2024-01-29,SHIPPED,SOUTH
